image, efficiency, wastedBytes, userWastedPercent
jojo13572001/mongodb, 99.6154, 2762039, 1.1383
guesttoguest/nginx, 98.7932, 3837297, 5.8402
sloppy/nginx, 98.9380, 4000964, 3.7325
smartprocure/java, 96.3669, 35586761, 4.4443
varci/mysql, 99.0143, 5304420, 2.0370
hawkularqe/cassandra, 98.8393, 6044825, 2.3239
slhdev/cassandra, 90.6422, 102716871, 11.8222
micard/mysql, 99.0166, 5289480, 2.0311
navicore/cassandra, 98.7116, 6665611, 2.4643
fabric8/java, 94.7032, 41890400, 9.1380
asteris/java, 97.5554, 23895735, 4.6700
edel/mysql, 100.0000, 0,
sscpac/mongo, 99.3199, 3103414, 1.3252
shaddock/mysql, 89.5799, 69685198, 16.6419
aptible/mongodb, 98.5205, 7771897, 2.5017
ksean/mysql, 82.8261, 64928098, 18.6519
serfera/mongodb, 88.4916, 53770933, 21.7594
davinbao/java, 99.9456, 96637, 0.0689
deeky666/mysql, 94.8471, 32098629, 6.7824
willfarrell/nginx, 95.7773, 1665823, 8.7162
upclose/nginx, 99.6370, 43739, 2.5576
resouer/cassandra, 94.2115, 42176046, 8.9564
tugboatqa/mysql, 96.4001, 27261134, 4.1598
ixbox/nginx, 99.5914, 44761, 3.5465
notnoopci/mongo, 98.7985, 6169157, 2.1535
lrodriguez2002cu/cassandra, 98.2420, 9435435, 3.0893
pat2man/cassandra, 98.7326, 7336030, 2.1758
concreteplatform/java, 98.6856, 10343424, 1.9158
meuralnetgear/nginx, 98.4184, 3649880, 6.4297
webratio/java, 92.8835, 62944561, 9.9269
exasoft/mysql, 87.2086, 156703806, 19.8005
babim/nginx, 77.5574, 65128142, 29.9771
oddlid/nginx, 94.5592, 3387808, 11.4308
keks/mongodb, 84.0331, 116190436, 46.0111
yappabe/nginx, 98.7130, 4205561, 6.3650
gristoi/mysql, 93.7722, 34901126, 7.4809
tcaxias/mongodb, 99.1374, 4387822, 2.4656
nymediaas/nginx, 98.1896, 3606722, 6.7201
phppm/nginx, 99.1335, 786216, 0.9568
agaveapi/mongodb, 95.2614, 24420222, 7.7553
evap/mongo, 96.8444, 8942393, 6.5080
livingobjects/nginx, 65.5776, 10421952, 81.8406
russellluo/mongodb, 92.5609, 39000926, 8.8905
loky9000/nginx, 89.5208, 24397147, 61.5606
opens/mongo, 98.7125, 1835087, 1.3575
junghoo/mysql, 97.2606, 27641688, 3.1717
phpdockerio/nginx, 99.5267, 57130, 3.9536
c4tech/nginx, 98.1942, 3600107, 6.7083
vpecquerie/mysql, 58.7223, 613166189, 86.6123
fastwhitecat/nginx, 98.4722, 4613771, 5.8175
chrishawkins/cassandra, 94.6045, 72390457, 10.2103
maestrano/mysql, 97.9243, 13126907, 4.5012
enriquetaso/cassandra, 87.6718, 138924320, 19.7589
snakeego/mongodb, 99.9722, 109071, 0.0458
liorsep/nginx, 98.2009, 3595865, 6.6518
ivories/mysql, 99.8895, 196184, 0.1300
google/mysql, 95.1505, 22862123, 8.4032
dockerframework/mongodb, 91.3999, 34073600, 12.8102
felixsanz/mongo, 99.9744, 54770, 0.0420
bayraktar/cassandra, 98.4437, 7894258, 3.0134
qasymphony/nginx, 93.1950, 14019827, 25.8843
edisonchat/mongodb, 93.5304, 26444343, 8.7565
aleksandrovd/mongo, 99.1296, 3580929, 2.0374
binsix/mongodb, 70.4278, 441209442, 53.5841
maersk/nginx, 91.8186, 17597629, 25.0110
wedeploy/java, 99.6910, 1599938, 0.5381
macmillan/mongodb, 88.0327, 113784747, 20.3899
kkalandyk/cassandra, 92.1385, 105187706, 11.8751
sofianinho/cassandra, 90.5147, 105260302, 15.9934
iadvize/nginx, 99.0358, 3841118, 3.2743
livingstoneonline/mysql, 99.9018, 234693, 0.1091
flowman/nginx, 98.9199, 215603, 1.7823
jpkroehling/cassandra, 82.5849, 135520018, 43.6699
keopx/mysql, 88.1485, 76016443, 14.7518
tsweb/mysql, 71.2133, 222119972, 41.3828
suet/mysql, 91.3137, 47738949, 10.4054
canopytax/java, 98.8167, 14818832, 1.5239
anvilresearch/nginx, 99.3522, 80675, 5.4619
poklet/cassandra, 72.1616, 153923370, 31.7249
qbtrade/java, 96.5929, 63884097, 4.9640
esycat/java, 97.3545, 32101397, 3.0575
spalmalo/nginx, 98.9631, 3407088, 5.9094
jcdecaux/mongodb, 91.3226, 36401187, 57.5047
duruo850/mysql, 87.8365, 51301938, 26.5330
cityofsurrey/java, 99.7284, 590631, 0.2860
gerbermichi/cassandra, 98.8393, 6044825, 2.3239
voidbridge/mongo, 80.2993, 247635715, 50.4565
passwork/mongo, 94.0074, 24659928, 11.5836
amd64/nginx, 98.4295, 3646507, 6.3431
jbanetwork/mongodb, 98.9073, 5245336, 2.3903
denvazh/java, 99.8192, 219831, 0.2053
citizensadvice/mysql, 98.2272, 8276198, 2.6026
dockenizer/mysql, 99.7112, 530455, 0.3090
rithium/cassandra, 97.4112, 29503370, 5.5759
corpusops/mongo, 98.3753, 9407546, 2.1860
luke92/cassandra, 91.9481, 88860633, 12.9505
wodby/nginx, 97.6330, 1828383, 2.5445
planitar/cassandra, 91.4976, 99463636, 14.5153
hleon256/nginx, 98.9675, 3421671, 5.8248
fabianschwarzfritz/mongodb, 90.9733, 53508768, 14.7105
songshenzong/mongo, 98.7985, 6169157, 2.1535
liumiaocn/mysql, 98.8116, 6647941, 2.1525
ocaner/cassandra, 98.6234, 7440887, 2.7440
davidtp1/mongo, 98.9971, 4494135, 1.8565
afoard/mongo, 92.4854, 48017188, 9.3503
drupaldocker/mysql, 98.2200, 8296435, 2.6199
evilroot/nginx, 97.5853, 6578264, 4.9446
mystrength/nginx, 95.6694, 25996617, 12.4294
imanticsiot/java, 83.7322, 147506498, 21.6682
miguelpeixe/nginx, 99.7958, 52158, 0.4491
dockerize/mongodb, 90.1665, 114344501, 15.0481
image,,,
verbling/nginx, 99.0645, 3293149, 5.6348
aimakun/mysql, 99.3316, 3680580, 1.8480
therealajr/mongo, 99.5010, 3613802, 1.2393
openlmis/nginx, 99.7567, 80721, 0.3872
pam79/nginx, 98.4205, 3646461, 6.4244
tomiti/nginx, 98.1952, 3598743, 6.7059
sdtdensimag/cassandra, 98.4451, 7888978, 3.0114
saisasank001/mysql, 96.0404, 14596531, 11.1008
ahmet2mir/mysql, 96.8995, 14686939, 8.3185
nimmis/java, 91.4962, 61530008, 13.2463
pathwar/nginx, 98.4650, 2682990, 2.9251
docksal/mysql, 97.7443, 7458955, 3.7145
matuskocka/mongodb, 96.5581, 23854382, 8.3477
iwsaas/cassandra, 98.9449, 6632290, 2.8896
macfly/cassandra, 98.6428, 7116525, 2.7247
tbaltrushaitis/mongodb, 92.3539, 31754318, 11.5708
ppc64le/cassandra, 98.3508, 7505344, 2.8781
heroku/java, 95.6041, 123923595, 9.0287
bearstech/java, 99.3455, 4833528, 2.2733
ignatov/mysql, 99.3956, 3274065, 1.2919
aku1/nginx, 97.2065, 13198087, 10.9100
capaldijo/mysql, 99.2870, 3896334, 2.3617
klaemo/nginx, 79.3738, 69438516, 23.6877
openapphack/mongodb, 85.4597, 56472219, 32.3323
java4job/java, 98.3448, 23083740, 3.0875
miko2u/nginx, 91.0456, 39079875, 145.0470
appsdeck/mysql, 97.9159, 20551314, 5.0444
apporbit/mysql, 97.9783, 13407131, 5.8275
relevancelab/mongodb, 93.2948, 68226673, 13.7714
edvisor/nginx, 99.7679, 56339, 0.4882
datasolvr/cassandra, 98.8253, 6057432, 2.3842
klemenb/mysql, 98.5030, 8315437, 2.1356
jesuejunior/nginx, 88.8562, 24388972, 96.4518
dqneo/mysql, 98.7346, 6649162, 2.3529
fredrikroos/cassandra, 84.3259, 246595772, 28.0760
orcamicroservices/mysql, 98.4962, 7819765, 2.7559
conyac/mysql, 82.8448, 156058493, 17.9692
lukaszm/mongodb, 96.8340, 13603228, 5.2961
kardasz/mongodb, 99.1935, 4525821, 1.8176
shoaibmohammed/mysql, 98.8052, 6450293, 2.5282
idoall/mysql, 99.0494, 5335396, 1.9255
asterios/mysql, 97.3004, 11051821, 3.7802
audris/cassandra, 98.9755, 9813338, 1.5382
mpl7/mongo, 93.7661, 31284441, 7.0397
baricio/mysql, 99.2341, 4002529, 2.0018
tedneward/java, 98.1103, 24675402, 3.2567
linntroll/mysql, 99.3957, 3690524, 1.5691
klabs/mysql, 97.8208, 8357149, 4.7163
conube/mongodb, 99.9468, 79378, 0.1069
dabansal/cassandra, 98.2427, 7436200, 2.7778
bholt/cassandra, 91.7400, 248923851, 17.5134
socialtablesops/mysql, 98.2174, 8278857, 2.6186
fabiomendescom/cassandra, 99.2128, 4577711, 1.8434
yoda31217/java, 95.8556, 36545548, 4.9088
pivote/mongo, 98.7689, 6125008, 2.1911
christobill/cassandra, 91.6077, 94238801, 14.6411
nrandell/mongo, 99.6351, 2644263, 0.7002
amazeeio/mongo, 99.9805, 56034, 0.0340
ahmadiq/java, 94.9382, 34404524, 5.7181
mateusmiranda/mysql, 94.2291, 38852926, 10.4008
wenzizone/mysql, 90.2531, 49572252, 25.0557
mcgregorandrew/cassandra, 98.7456, 6453521, 2.4493
autopilotpattern/nginx, 97.7271, 5854750, 4.6796
seleme/mysql, 98.2223, 8273004, 2.6111
fusonic/mysql, 98.2199, 8278849, 2.6144
aminjam/mongodb, 99.2114, 4138114, 1.1696
bluemeric/cassandra, 88.7852, 147601921, 14.5480
liudonghua123/mongodb, 88.4630, 66309818, 33.1333
kapost/mongo, 98.3059, 5259621, 2.8404
techcto/mongo, 98.5647, 6571253, 2.2034
samsulmaarif/mysql, 85.4881, 89619154, 42.2323
austburn/cassandra, 98.8215, 5999298, 2.3826
ginolegaltechparis/nginx, 96.9674, 5811868, 8.8965
ncarlier/cassandra, 98.6316, 7170918, 2.7131
mongo, 98.6546, 6578732, 2.0384
centurylink/mysql, 92.5551, 27205837, 18.0382
epenia/cassandra, 98.8201, 6006025, 2.3852
buddy/mysql, 98.5821, 6793438, 3.0981
e96tech/mongo, 98.9228, 6479409, 1.8125
aku1/mysql, 97.7916, 14882255, 5.6331
centerx/nginx, 98.4119, 3685798, 6.4926
xpxstar/mysql, 98.9092, 6453250, 2.2146
tiredofit/mongo, 91.3794, 88430225, 19.5846
ohmcoe/nginx, 98.4249, 3646482, 6.3846
aplimouzin/mongodb, 97.1662, 12064679, 7.5905
tmather99/nginx, 98.8884, 251006, 1.6817
treenity/mysql, 98.9329, 5611349, 2.1522
syoya/nginx, 95.6635, 1510974, 11.9613
webstream/mysql, 98.2224, 8273008, 2.6111
idalko/java, 92.4117, 100668113, 10.0458
xalt/mysql, 98.4647, 6971955, 3.0103
bigtruedata/java, 98.5259, 6597294, 3.5061
joseenrique/cassandra, 98.6475, 7116245, 2.7111
timonier/mysql, 98.1315, 10463962, 2.5216
stefanofontanelli/cassandra, 97.3840, 32178631, 4.3610
trollin/mysql, 98.4988, 8309268, 2.1431
lefan/cassandra, 67.2885, 307138068, 38.8714
i386/nginx, 98.4535, 3643933, 6.2629
lovedeer/mongodb, 90.9782, 41207642, 12.8749
azukiapp/mysql, 99.3890, 3725352, 1.5872
devbeta/mysql, 74.6785, 816742469, 37.9581
suboss/cassandra, 76.4829, 302277313, 38.5720
engines/mysql, 65.6748, 329974628, 79.4879
tugboatqa/mongo, 91.0194, 67475107, 11.1788
makeusabrew/mongodb, 100.0000, 0, 0.0000
admatic/cassandra, 98.1857, 7541142, 2.8668
fruitionsciences/java, 99.0160, 79703298, 1.7433
trainingteam/nginx, 98.9637, 3426851, 5.8795
firethorn/java, 80.3269, 262126700, 38.5017
ikoobdevops/mongodb, 98.7267, 6442659, 2.2920
infomir/nginx, 97.2582, 6190372, 6.6367
zjybb/nginx, 97.8782, 553106, 3.0642
hibu/mongodb, 96.1275, 42565671, 7.7449
kennship/cassandra, 72.1556, 154005803, 31.7391
vixlet/nginx, 98.7047, 3294702, 42.9855
ikovacevic/java, 89.0709, 77069328, 14.2645
frederikschmidt/cassandra, 98.7660, 6075204, 2.5178
wplib/mysql, 98.2200, 8296483, 2.6199
akilli/nginx, 99.1552, 138670, 1.7198
darthjson/mysql, 76.4044, 99939970, 46.6178
d0dic/mysql, 76.8611, 121706589, 53.9658
jordi/nginx, 81.7013, 65169848, 24.6185
teja0957/cassandra, 98.2411, 7461293, 2.7857
webhippie/java, 99.5310, 1806772, 0.5564
integrisio/cassandra, 98.1877, 9497161, 3.5811
jeromefitz/mongodb, 93.4597, 26992902, 9.8126
lol233/java, 93.0528, 64886399, 12.5592
waja/nginx, 68.2790, 6464581, 140.1424
jonathans121/cassandra, 95.3655, 40128709, 7.3844
patagonicus/mysql, 93.8468, 18549112, 9.1767
linarotechnologies/nginx, 99.6224, 78988, 0.6836
whatwedo/nginx, 99.2273, 5861670, 87.9960
akaillidan/mongodb, 98.8405, 5676129, 2.5635
alang/nginx, 98.2051, 3585412, 6.6629
datenbetrieb/nginx, 98.2548, 6817037, 4.4506
autopilotpattern/mysql, 95.5703, 37601250, 10.2016
jmaulion/cassandra, 98.2429, 7439966, 2.7770
shorlak/mongo, 99.9749, 54510, 0.0414
netbisect/java, 99.8908, 109007, 0.1401
twistedogic/cassandra, 95.2450, 42597843, 5.6849
webhippie/mongodb, 92.5009, 60082832, 10.7526
rxvallejoc/java, 99.8602, 225139, 0.1569
ipunktbs/nginx, 94.7377, 24880794, 12.2831
scaleway/java, 94.0761, 51663804, 7.8648
huahaiy/cassandra, 98.1140, 15412239, 2.0615
eltscheminov/mongodb, 96.7594, 24538805, 4.4698
scalp42/cassandra, 98.7913, 6199327, 2.4327
kardasz/nginx, 97.9761, 4673937, 14.9398
gjchen/nginx, 93.0906, 1923011, 16.5947
lesongjia/cassandra, 98.9376, 6684208, 2.9120
kengsarun/mongo, 98.9962, 4494253, 1.8588
cityofsurrey/nginx, 99.7078, 65003, 0.5635
icescrum/mysql, 98.0915, 7450023, 3.0144
openkbs/cassandra, 98.4488, 7906292, 3.0066
cameronmalek/nginx, 99.7624, 157043, 0.2916
scottabernethy/mongodb, 98.8263, 5510100, 2.5795
opositatest/nginx, 98.4140, 3678857, 6.4811
ramkri123/cassandra, 90.9303, 106358634, 15.0858
abema/nginx, 99.8490, 53928, 0.2948
mlda065/cassandra, 83.8560, 219056249, 29.3953
passion4/nginx, 97.6551, 4163460, 7.8718
cyberdojofoundation/java, 99.3396, 799557, 0.7147
avizia/cassandra, 96.5532, 75051223, 5.8820
damiang/nginx, 98.1897, 3602666, 6.7400
frilansfinansse/mysql, 98.8546, 5281523, 2.5900
aaditiphadtare/cassandra, 75.7928, 136455417, 27.6884
vivasaayi/mongodb, 96.0636, 31104963, 5.9407
frodenas/mysql, 90.8660, 77165308, 15.4237
garlic/nginx, 96.5095, 13804826, 17.2075
isom/mysqldb, 93.3123, 38083804, 11.8081
sameersbn/mongodb, 88.6600, 28563800, 65.5758
an0t8/nginx, 94.5902, 10051671, 12.9459
nafajardo/cassandra, 76.8451, 154390519, 39.4435
sommereng/mongodb, 98.7693, 6121938, 2.1901
karrieretutor/nginx, 96.5402, 7487231, 10.2640
samuelcstewart/java, 96.8079, 30633686, 4.2646
johnny2015/mysql, 99.9998, 1872, 198.5154
kubekit/cassandra, 98.7811, 7128172, 2.1124
livingobjects/mysql, 97.8785, 15033983, 5.2236
vaibhavtodi/java, 92.6965, 81197601, 12.3787
smartlab/nginx, 95.8387, 1432405, 10.3388
kobotoolbox/mongo, 80.7081, 298183607, 39.7489
talklead/nginx, 95.1396, 7422251, 12.0673
synopsis/mysql, 98.2199, 8278849, 2.6144
ascendhit/mysql, 98.8494, 5276160, 2.5894
zooniverse/nginx, 83.1501, 74090820, 41.6328
sacashgit/mongo, 85.7669, 48666527, 14.4137
ley21/nginx, 98.9311, 3487236, 4.5889
bigm/mongodb, 85.9711, 122094707, 28.6364
stormshield/mongodb, 99.5591, 3885060, 0.9649
cpuguy83/mongodb, 85.7578, 118951660, 30.7062
chregu/mysql, 73.2286, 243417959, 70.8693
ryurkov/nginx, 89.0666, 27217678, 62.4633
trumanz/cassandra, 92.8587, 107988115, 11.6081
imolko/mongodb, 97.8194, 6646505, 3.4482
advice/mongodb, 95.8603, 33918743, 6.4604
renothing/nginx, 98.8592, 127606, 4.5649
imolko/mongo, 98.2557, 8221884, 2.8412
circleci/java, 85.1398, 206808257, 18.7456
kharmajbird/mongo, 98.9060, 5266292, 2.3998
hunet/java, 97.5187, 9811220, 5.1265
oliverwehn/mongodb, 93.7338, 24541276, 12.6946
appsdeck/mongo, 90.5875, 40280584, 13.7852
egovio/nginx, 99.0379, 207268, 1.3568
rstarmer/nginx, 98.2027, 3586110, 6.6777
overlordyorch/cassandra, 84.9023, 173071305, 21.5149
sofitlabs/java, 99.9253, 706274, 0.1552
redwolf3/java, 94.2882, 39422028, 10.6912
jpgriffo/java, 99.6184, 4476302, 0.5886
radiantwf/mongodb, 92.6800, 36333079, 10.0554
uwitech/mongodb, 98.7828, 6169694, 2.1896
dreamlike/cassandra, 98.6460, 7133537, 2.7209
nyccamp/mysql, 84.2459, 82496465, 20.2428
schmunk42/nginx, 98.4227, 2784807, 2.9817
juanpedromoreno/cassandra, 73.7489, 383875394, 34.4976
sphericaldefence/nginx, 98.4160, 3656864, 6.4415
nvucinic/nginx, 71.0174, 141308074, 113.3497
freenas/mysql, 98.5702, 7702863, 2.6661
horx/mysql, 99.2562, 3378898, 1.7013
maxexcloo/nginx, 98.8986, 4226952, 3.4783
scullxbones/mongodb, 93.8796, 27434930, 8.7066
portail/nginx, 98.2084, 3586974, 6.6364
circleci/mysql, 98.5690, 8333966, 2.0331
jcampan/cassandra, 99.0832, 12830341, 1.4765
petrasystems/mongodb, 49.6170, 682999538, 106.6123
fgaudin/nginx, 88.8974, 58781984, 15.4313
itiqiti/nginx, 99.7058, 78900, 0.4952
dockette/nginx, 98.4542, 4327344, 6.0839
mazdahws/mysql, 97.9480, 8584718, 2.9793
mszcodewise/cassandra, 77.9600, 112136613, 22.5121
munkyboy/java, 96.3648, 40021682, 5.1591
tlodge/mongo, 95.0413, 24538979, 8.3539
karun74/mysql, 99.2482, 3443422, 1.7396
excellalabs/mongo, 98.5719, 6580232, 2.1899
starlkj/mysql, 93.8657, 38755623, 10.1351
konstruktoid/nginx, 85.5229, 1689565, 38.9370
konstruktoid/mongodb, 88.7029, 46216975, 15.5484
anthonyamanse/cassandra, 98.3147, 7912518, 3.1325
rgrmarketing/nginx, 97.7907, 4865615, 5.6159
kdihalas/mongodb, 100.0000, 0, 0.0000
devcamaws/cassandra, 98.2430, 7436486, 2.7771
mhcii/mysql, 98.6046, 8331611, 1.9758
nicomalig/mysql, 98.2200, 8296435, 2.6199
grapeupci/java, 97.5047, 15478894, 3.1297
guesttoguest/mongodb, 99.1966, 4023180, 2.2687
gewo/mongodb, 91.7939, 65401402, 18.0085
vrtsystems/nginx, 98.6312, 5440506, 3.2128
ccistaging/mysql, 98.5411, 8333078, 2.0784
brunohenrique/mongodb, 93.4946, 24512055, 6.6667
openeats/nginx, 99.7830, 53943, 0.4682
babim/mongodb, 89.4462, 40645905, 12.9413
dexec/java, 99.7292, 3498003, 0.5835
cxdstepbystep/nginx, 98.4193, 3645817, 6.4361
tmobilecf/cassandra, 98.0571, 8860841, 3.0774
trurlmcbyte/nginx, 99.8656, 163887, 0.1648
hreeinfodb/mongo, 99.9606, 132151, 0.0523
glot/java, 98.6054, 12684074, 2.4218
cs50/mysql, 98.0917, 7447849, 3.0140
notnoopci/mysql, 98.5570, 7702018, 2.7009
ignatiusyeow/cassandra, 99.1966, 5078123, 2.0223
bradegler/mongodb, 95.2798, 49441802, 5.4616
naturalintelligence/java, 99.1194, 9257074, 1.3393
commandeonline/mongo, 98.9527, 4441994, 1.9753
ryu2492/mysql, 91.1314, 37879458, 10.9894
minidocks/java, 99.5670, 606621, 0.8054
asekuro/mysql, 79.6789, 196484934, 23.9471
metatronx/mysql, 98.2174, 8278845, 2.6186
caseblocks/mongodb, 93.7316, 24536225, 12.7333
s390x/nginx, 98.4152, 3647051, 6.2450
timherman/mysql, 99.2744, 3139583, 1.2022
convox/mysql, 98.3659, 5511537, 2.7604
vkarassouloff/java, 99.3519, 5456410, 1.1786
darwin4322/mysql, 94.2270, 32825582, 17.9236
mrlesmithjr/mysql, 99.6822, 874855, 0.3312
learninglayers/mysql, 88.6901, 56115057, 20.4460
amd64/mysql, 98.5693, 8332617, 2.0328
ilios/nginx, 51.8970, 106860571, 98.7961
apifocal/java, 92.8160, 38385822, 9.7561
gatoralli/cassandra, 100.0000, 0, 0.0000
almundo/java, 97.7801, 18780978, 3.5551
rebyn/cassandra, 98.4389, 7913258, 3.0203
yyqqing/mysql, 98.5413, 8331751, 2.0781
quadstingray/mongodb, 99.1931, 3599357, 1.9343
zroof/nginx, 95.8373, 1432345, 10.3431
unfall24/nginx, 99.7825, 138804, 0.2806
podgroup/cassandra, 98.6475, 7116245, 2.7111
stangenberg/java, 98.8549, 2477524, 2.3604
bowery/mongo, 100.0000, 0, 0.0000
xiahoufeng/cassandra, 95.6114, 45074172, 11.7123
smartua/mongodb, 99.5406, 3116381, 1.3877
miaoyq/cassandra, 90.5111, 105314338, 16.0003
gears/mongodb, 99.9270, 212988, 0.0837
jetlabs/mongodb, 93.7925, 24560800, 12.4047
maxking/mysql, 98.5075, 8295631, 2.1300
smokserwis/cassandra, 98.0392, 8056253, 3.2067
