image, efficiency, wastedBytes, userWastedPercent
gcarre/java, 99.7058, 2661714, 0.6530
ikimea/nginx, 97.3931, 5840053, 5.7047
nirmalgupta/cassandra, 98.8084, 6064660, 2.4137
danmactough/mysql, 99.3959, 3717663, 1.5742
gorillajs/mysql, 90.1558, 78336807, 22.8280
rluta/cassandra, 100.0000, 0, 0.0000
state/mongodb, 72.3315, 495452727, 53.9508
chrisgarrett/mongo, 99.8212, 637373, 0.2784
tutum/mongodb, 95.2512, 24541338, 7.7891
youpin/nginx, 79.7567, 36009333, 66.1035
cloneme/nginx, 99.2206, 3991945, 2.0434
cloudposse/mysql, 98.2393, 8639046, 2.5338
devries/nginx, 85.6935, 38428604, 27.2462
richardyft/java, 93.5375, 59301661, 9.3576
roadmunk/mongo, 94.7122, 19890082, 7.4905
calliope/cassandra, 87.1242, 174903394, 22.7609
mjrone/mysql, 98.6046, 8331621, 1.9758
gsong/nginx, 98.9404, 255057, 1.5731
marcialr/mysql, 82.8767, 56625861, 17.8005
dperson/nginx, 93.5828, 2155153, 14.9879
lucilecoutouly/cassandra, 98.8494, 10005596, 1.7500
cogentwebs/mongodb, 98.3415, 2182035, 1.7398
plainpicture/cassandra, 98.7647, 6371131, 2.4245
labdocker/mysql, 98.6278, 8306026, 1.9352
dokie/cassandra, 97.9089, 23603465, 4.0424
aerth/mysql, 94.6443, 27232658, 9.5842
marmotcai/java, 95.8386, 35865171, 5.0477
minorut/mysql, 98.1623, 8090522, 3.6041
benclarkwood/cassandra, 98.2184, 9398671, 3.1527
ppc64le/nginx, 98.8362, 3649075, 5.5971
royjoydeep1/cassandra, 98.2433, 7439207, 2.7767
munkyboy/cassandra, 99.5724, 4159256, 0.5413
camdenx/java, 92.9595, 72685915, 13.4133
jelastic/mysql, 83.4378, 410755796, 26.1627
appertly/nginx, 96.8938, 5719089, 7.8118
romaincottechauffeurprive/mongo, 87.1954, 26653087, 5.2711
gennitor/cassandra, 92.5419, 30249196, 17.4660
songshenzong/mysql, 98.5572, 7700251, 2.7003
murrays/mongo, 95.9765, 37545568, 7.4815
wzshiming/nginx, 99.7943, 52158, 0.4533
sammlerio/mongo, 91.3323, 32962495, 13.1117
skandyla/mongo, 98.7782, 6205827, 2.2069
thinkiq/mysql, 98.2343, 12467554, 2.2465
yaroslavderman/nginx, 99.7770, 142745, 0.2889
kjunine/mongodb, 91.0216, 74844466, 13.2028
skyscrapers/mysql, 99.3991, 3674792, 1.5625
aallam/mysql, 99.2793, 3774556, 2.2886
raisoft2008/nginx, 97.0693, 5877564, 6.8133
maxexcloo/java,,,
mysql, 98.5693, 8332617, 2.0328
adamalex/cassandra, 95.2716, 42630010, 5.6557
shantanuo/mysql, 97.6848, 7918910, 5.7092
bigcheng/mysql, 81.7106, 173371894, 38.4546
ad681s/cassandra, 98.4179, 8104922, 3.0914
kiskae/cassandra, 95.0271, 27819165, 6.9556
fleettracker/mongodb, 92.3364, 18863590, 12.2949
niccaman/mysql, 98.2848, 8205252, 3.2051
ppc64le/java, 98.8216, 9034830, 1.9253
stefanjacobs123/cassandra, 98.7949, 7062341, 2.1137
olcms/nginx, 99.7755, 55083, 0.4785
smalllark/java, 90.9990, 97189439, 17.3326
forgerock/java, 99.3998, 706027, 0.6453
xlight/mysql, 98.7908, 5306597, 2.8130
sysradium/mysql, 99.0178, 5281712, 2.0283
openbmp/mysql, 93.8461, 67035104, 8.5431
stickee/nginx, 79.9974, 7924419, 54.7866
arifuse/mongo, 90.5624, 44464713, 13.3882
devdrops/nginx, 84.1333, 30178099, 53.1075
jimthedev/cassandra, 99.3432, 4017931, 1.6923
fermayo/mongodb, 100.0000, 0, 0.0000
claydonkey/mysql, 98.8052, 6450293, 2.5282
rockerbox/cassandra, 95.2473, 42569805, 5.6816
loblaw/mongodb, 99.0678, 5266216, 1.8883
ivories/nginx, 99.3961, 75491, 4.7083
itiqiti/mongodb, 98.8968, 6007398, 2.0201
maaydin/nginx, 98.4782, 4622782, 5.7554
emdzej/mysql, 99.8937, 176748, 0.1240
matlockx/cassandra, 97.6592, 22145007, 6.1700
twistedogic/mongo, 99.2473, 4479888, 1.6003
moderntribe/mysql, 99.9004, 196701, 0.1195
spakmaro/mongo, 98.7996, 6186717, 2.1571
zinobe/mongo, 90.2870, 41874949, 14.2798
techakcent/nginx, 99.4161, 58059, 4.0981
isaldarriaga/cassandra, 87.0859, 138493970, 21.0360
century/mongodb, 86.8118, 22597498, 23.1327
bibbox/java, 99.7527, 3361559, 0.5242
jkingyens/mongodb, 82.2567, 174967072, 30.7086
srikanthk/mysql, 99.0494, 5335396, 1.9255
kymy/mongodb, 99.0652, 5269849, 1.8956
rtcamp/nginx, 81.9548, 32049135, 55.8639
alexlukichev/cassandra, 99.2095, 4456873, 1.8514
3stadt/mysql, 98.3254, 8458626, 3.1006
calliopedevelopers/cassandra, 87.1242, 174903394, 22.7609
misecichin/nginx, 98.1989, 3597896, 6.6823
arhea/cassandra, 97.7452, 9775811, 3.2567
pivotalenablement/mysql, 99.1305, 7199082, 1.3613
kmurakawa/mysql, 99.3885, 3727188, 1.5879
mbentley/mysql, 99.3432, 3747918, 2.1407
takeyamajp/mysql, 98.5409, 8333775, 2.0786
brianmorgan/nginx, 87.0211, 29400993, 31.7040
rainist/nginx, 96.1970, 10441569, 8.3165
nasqueron/mysql, 98.6277, 8306954, 1.9354
mishamx/mysql, 98.5544, 7712411, 2.7082
vovimayhem/cassandra, 99.5629, 4275406, 0.8922
flowmoco/mysql, 98.3037, 10352455, 2.2639
shashankkoppar/cassandra, 98.6806, 6401417, 2.6467
coinpit/cassandra, 99.3194, 4154929, 1.6456
oriaks/mongodb, 99.5961, 3121311, 1.1344
faofenix/java, 91.4657, 75752772, 10.6536
positron/mongo, 98.7821, 6172670, 2.1913
