"","parent_image","image","official","link","pull_count","star_count","parent_image","lib_count","total_high_vuls","total_not_high_vuls","total_vuls"
"54","nginx","raisoft2008/nginx",0,"https://hub.docker.com/r/raisoft2008/nginx",10000,-1,"nginx",139,3,53,56
"55","nginx","exadra37/nginx",0,"https://hub.docker.com/r/exadra37/nginx",1800,1,"nginx",108,2,36,38
"56","nginx","nymediaas/nginx",0,"https://hub.docker.com/r/nymediaas/nginx",1000,-1,"nginx",108,2,36,38
"57","nginx","yannickvh/nginx",0,"https://hub.docker.com/r/yannickvh/nginx",1500,-1,"nginx",108,2,36,38
"58","nginx","alang/nginx",0,"https://hub.docker.com/r/alang/nginx",1700,-1,"nginx",108,2,41,43
"59","nginx","yavende/nginx",0,"https://hub.docker.com/r/yavende/nginx",1100,-1,"nginx",142,1,20,21
"60","nginx","hubberonline/nginx",0,"https://hub.docker.com/r/hubberonline/nginx",9100,-1,"nginx",179,3,60,63
"61","nginx","yavende/nginx",0,"https://hub.docker.com/r/yavende/nginx",1100,-1,"nginx",142,1,20,21
"62","nginx","cmptstks/nginx",0,"https://hub.docker.com/r/cmptstks/nginx",9000,-1,"nginx",108,2,41,43
"63","nginx","liorsep/nginx",0,"https://hub.docker.com/r/liorsep/nginx",8800,-1,"nginx",108,2,44,46
"64","nginx","datenbetrieb/nginx",0,"https://hub.docker.com/r/datenbetrieb/nginx",1100,-1,"nginx",215,5,63,68
"65","nginx","webfatorial/nginx",0,"https://hub.docker.com/r/webfatorial/nginx",986,-1,"nginx",108,2,21,23
"66","nginx","desertbit/nginx",0,"https://hub.docker.com/r/desertbit/nginx",1000,1,"nginx",108,2,36,38
"67","nginx","karrieretutor/nginx",0,"https://hub.docker.com/r/karrieretutor/nginx",7100,-1,"nginx",110,2,45,47
"68","nginx","magarvey/nginx",0,"https://hub.docker.com/r/magarvey/nginx",1100,-1,"nginx",119,1,18,19
"69","nginx","bnusunny/nginx",0,"https://hub.docker.com/r/bnusunny/nginx",6600,-1,"nginx",108,2,44,46
"70","nginx","nightech/nginx",0,"https://hub.docker.com/r/nightech/nginx",792,-1,"nginx",134,3,45,48
"71","nginx","pathwar/nginx",0,"https://hub.docker.com/r/pathwar/nginx",842,-1,"nginx",84,0,0,0
"72","nginx","asux/nginx",0,"https://hub.docker.com/r/asux/nginx",817,1,"nginx",108,2,36,38
"73","nginx","sphericaldefence/nginx",0,"https://hub.docker.com/r/sphericaldefence/nginx",5100,-1,"nginx",118,3,37,40
"74","nginx","fox91/nginx",0,"https://hub.docker.com/r/fox91/nginx",4900,-1,"nginx",140,3,31,34
"75","nginx","baffledbear/nginx",0,"https://hub.docker.com/r/baffledbear/nginx",941,-1,"nginx",391,3,79,82
"76","nginx","spalmalo/nginx",0,"https://hub.docker.com/r/spalmalo/nginx",798,-1,"nginx",140,1,20,21
"77","nginx","appertly/nginx",0,"https://hub.docker.com/r/appertly/nginx",906,1,"nginx",110,2,36,38
"78","nginx","uspgamedev/nginx",0,"https://hub.docker.com/r/uspgamedev/nginx",701,-1,"nginx",108,2,44,46
"79","nginx","racepace/nginx",0,"https://hub.docker.com/r/racepace/nginx",4600,-1,"nginx",113,2,21,23
"80","nginx","tomiti/nginx",0,"https://hub.docker.com/r/tomiti/nginx",845,-1,"nginx",108,2,36,38
"81","nginx","linuxconfig/nginx",0,"https://hub.docker.com/r/linuxconfig/nginx",701,1,"nginx",123,2,42,44
"82","nginx","opositatest/nginx",0,"https://hub.docker.com/r/opositatest/nginx",575,-1,"nginx",118,3,39,42
"83","nginx","opositatest/nginx",0,"https://hub.docker.com/r/opositatest/nginx",575,-1,"nginx",118,3,39,42
"84","nginx","passion4/nginx",0,"https://hub.docker.com/r/passion4/nginx",3700,-1,"nginx",106,2,21,23
"85","nginx","maaydin/nginx",0,"https://hub.docker.com/r/maaydin/nginx",3500,-1,"nginx",162,3,31,34
"86","nginx","rstarmer/nginx",0,"https://hub.docker.com/r/rstarmer/nginx",3300,-1,"nginx",108,2,41,43
"87","nginx","iacopo/nginx",0,"https://hub.docker.com/r/iacopo/nginx",492,-1,"nginx",168,1,22,23
"88","nginx","ikimea/nginx",0,"https://hub.docker.com/r/ikimea/nginx",3000,-1,"nginx",114,2,40,42
"89","nginx","aku1/nginx",0,"https://hub.docker.com/r/aku1/nginx",3000,-1,"nginx",220,1,28,29
"90","nginx","hleon256/nginx",0,"https://hub.docker.com/r/hleon256/nginx",455,-1,"nginx",140,1,20,21
"91","nginx","damiang/nginx",0,"https://hub.docker.com/r/damiang/nginx",429,-1,"nginx",108,2,36,38
"92","nginx","synopsis/nginx",0,"https://hub.docker.com/r/synopsis/nginx",458,-1,"nginx",108,2,36,38
"93","nginx","ginolegaltechparis/nginx",0,"https://hub.docker.com/r/ginolegaltechparis/nginx",2800,-1,"nginx",141,5,50,55
"94","nginx","misecichin/nginx",0,"https://hub.docker.com/r/misecichin/nginx",2900,-1,"nginx",108,2,41,43
"95","nginx","hubberlm/nginx",0,"https://hub.docker.com/r/hubberlm/nginx",2800,-1,"nginx",189,3,58,61
"96","nginx","aquaomri/nginx",0,"https://hub.docker.com/r/aquaomri/nginx",2700,-1,"nginx",106,2,21,23
"97","nginx","hubberlm/nginx",0,"https://hub.docker.com/r/hubberlm/nginx",2800,-1,"nginx",189,3,58,61
"98","nginx","portail/nginx",0,"https://hub.docker.com/r/portail/nginx",2600,-1,"nginx",108,2,44,46
"99","nginx","trainingteam/nginx",0,"https://hub.docker.com/r/trainingteam/nginx",2200,-1,"nginx",140,1,20,21
"100","nginx","weldpua2008/nginx",0,"https://hub.docker.com/r/weldpua2008/nginx",407,1,"nginx",140,1,20,21
"101","nginx","guesttoguest/nginx",0,"https://hub.docker.com/r/guesttoguest/nginx",319,-1,"nginx",168,1,22,23
"102","nginx","arvatolille/nginx",0,"https://hub.docker.com/r/arvatolille/nginx",1800,-1,"nginx",109,2,36,38
"103","nginx","actionspec/nginx",0,"https://hub.docker.com/r/actionspec/nginx",337,-1,"nginx",118,3,40,43
"104","nginx","cxdstepbystep/nginx",0,"https://hub.docker.com/r/cxdstepbystep/nginx",1700,-1,"nginx",118,3,37,40
"105","nginx","mobsted/nginx",0,"https://hub.docker.com/r/mobsted/nginx",1800,-1,"nginx",108,2,41,43
"106","nginx","sloppy/nginx",0,"https://hub.docker.com/r/sloppy/nginx",280,-1,"nginx",182,1,23,24
"107","cassandra","cassandra",1,"https://hub.docker.com/_/cassandra",10000000,1100,"cassandra",174,6,71,77
"108","cassandra","alexlukichev/cassandra",0,"https://hub.docker.com/r/alexlukichev/cassandra",100000,-1,"cassandra",231,1,22,23
"109","cassandra","i386/cassandra",0,"https://hub.docker.com/r/i386/cassandra",10000,-1,"cassandra",174,6,71,77
"110","cassandra","amd64/cassandra",0,"https://hub.docker.com/r/amd64/cassandra",10000,1,"cassandra",174,6,71,77
"111","cassandra","arm64v8/cassandra",0,"https://hub.docker.com/r/arm64v8/cassandra",10000,1,"cassandra",173,6,71,77
"112","cassandra","ppc64le/cassandra",0,"https://hub.docker.com/r/ppc64le/cassandra",10000,1,"cassandra",173,6,71,77
"113","cassandra","arhea/cassandra",0,"https://hub.docker.com/r/arhea/cassandra",10000,-1,"cassandra",182,3,42,45
"114","cassandra","tmobilecf/cassandra",0,"https://hub.docker.com/r/tmobilecf/cassandra",100000,-1,"cassandra",179,6,77,83
"115","cassandra","thingsboard/cassandra",0,"https://hub.docker.com/r/thingsboard/cassandra",100000,-1,"cassandra",172,4,51,55
"116","cassandra","karanp/cassandra",0,"https://hub.docker.com/r/karanp/cassandra",7600,-1,"cassandra",222,3,44,47
"117","cassandra","kiddom/cassandra",0,"https://hub.docker.com/r/kiddom/cassandra",50000,-1,"cassandra",172,4,51,55
"118","cassandra","rinscy/cassandra",0,"https://hub.docker.com/r/rinscy/cassandra",7400,-1,"cassandra",201,5,65,70
"119","cassandra","scalp42/cassandra",0,"https://hub.docker.com/r/scalp42/cassandra",4600,2,"cassandra",200,1,23,24
"120","cassandra","argussecurity/cassandra",0,"https://hub.docker.com/r/argussecurity/cassandra",4400,-1,"cassandra",322,2,33,35
"121","cassandra","crossvale/cassandra",0,"https://hub.docker.com/r/crossvale/cassandra",6700,-1,"cassandra",201,5,65,70
"122","cassandra","peerbelt/cassandra",0,"https://hub.docker.com/r/peerbelt/cassandra",1000,1,"cassandra",374,1,27,28
"123","cassandra","ncarlier/cassandra",0,"https://hub.docker.com/r/ncarlier/cassandra",1100,-1,"cassandra",236,1,24,25
"124","cassandra","alexcheng/cassandra",0,"https://hub.docker.com/r/alexcheng/cassandra",720,-1,"cassandra",172,4,51,55
"125","cassandra","bholt/cassandra",0,"https://hub.docker.com/r/bholt/cassandra",983,-1,"cassandra",345,1,25,26
"126","cassandra","jooyeong/cassandra",0,"https://hub.docker.com/r/jooyeong/cassandra",2600,-1,"cassandra",209,1,21,22
"127","cassandra","nafajardo/cassandra",0,"https://hub.docker.com/r/nafajardo/cassandra",2800,-1,"cassandra",177,3,41,44
"128","cassandra","integrisio/cassandra",0,"https://hub.docker.com/r/integrisio/cassandra",2100,-1,"cassandra",201,5,59,64
"129","cassandra","rebyn/cassandra",0,"https://hub.docker.com/r/rebyn/cassandra",291,-1,"cassandra",201,5,65,70
"130","cassandra","artemeff/cassandra",0,"https://hub.docker.com/r/artemeff/cassandra",2000,-1,"cassandra",201,5,65,70
"131","cassandra","kubekit/cassandra",0,"https://hub.docker.com/r/kubekit/cassandra",304,-1,"cassandra",175,0,0,0
"132","cassandra","smokserwis/cassandra",0,"https://hub.docker.com/r/smokserwis/cassandra",375,-1,"cassandra",123,4,55,59
"133","cassandra","navicore/cassandra",0,"https://hub.docker.com/r/navicore/cassandra",276,-1,"cassandra",212,2,40,42
"134","cassandra","bde2020/cassandra",0,"https://hub.docker.com/r/bde2020/cassandra",308,-1,"cassandra",222,1,24,25
"135","cassandra","thinkin/cassandra",0,"https://hub.docker.com/r/thinkin/cassandra",301,-1,"cassandra",172,3,40,43
"136","cassandra","pmdcosta/cassandra",0,"https://hub.docker.com/r/pmdcosta/cassandra",1400,-1,"cassandra",209,2,31,33
"137","cassandra","dreamlike/cassandra",0,"https://hub.docker.com/r/dreamlike/cassandra",273,-1,"cassandra",201,5,62,67
"138","cassandra","zzyin/cassandra",0,"https://hub.docker.com/r/zzyin/cassandra",1400,-1,"cassandra",212,2,40,42
"139","cassandra","databench/cassandra",0,"https://hub.docker.com/r/databench/cassandra",218,-1,"cassandra",201,5,65,70
"140","cassandra","codemonkeyai/cassandra",0,"https://hub.docker.com/r/codemonkeyai/cassandra",1000,-1,"cassandra",201,5,65,70
