"","image","parent_image","efficiency","wastedBytes","userWastedPercent","os","tag_name","size","val"
"1","cassandra","cassandra",98.2414,7471574,2.7842,"debian","latest",132875944,1
"2","java","java",98.9057,9049449,1.7399,"debian","latest",243383959,1
"3","java","java",99.9456,96523,0.0689,"alpine","alpine",51674253,1
"4","mongo","mongo",98.6546,6578732,2.0384,"ubuntu","latest",163992704,1
"5","mysql","mysql",98.5693,8332617,2.0328,"debian","latest",136675781,1
"6","nginx","nginx",98.4295,3646507,6.3431,"debian","latest",50974777,1
"7","nginx","nginx",98.9546,251122,1.5477,"alpine","alpine",8885488,1
"8","3bagels/nginx","nginx",95.9248,1429106,10.0858,"alpine","latest",7882115,1
"9","3stadt/mysql","mysql",98.3254,8458626,3.1006,"debian","latest",135339757,1
"10","aaditiphadtare/cassandra","cassandra",75.7928,136455417,27.6884,"centos","latest",190467894,1
"11","aakashkt/cassandra","cassandra",90.5148,105263026,15.9913,"ubuntu","latest",376749425,1
"12","aallam/mysql","mysql",99.2793,3774556,2.2886,"debian","latest",90775517,1
"13","abema/mongodb","mongo",91.0422,39420846,12.8203,"ubuntu","latest",167910001,1
"14","abema/nginx","nginx",99.849,53928,0.2948,"alpine","latest",8264103,1
"15","actionspec/nginx","nginx",98.4253,3646461,6.3811,"debian","latest",50854531,1
"16","activeeon/cassandra","cassandra",98.2415,7462559,2.7843,"debian","latest",132626974,1
"17","ad681s/cassandra","cassandra",98.4179,8104922,3.0914,"debian","latest",165262899,1
"18","adamalex/cassandra","cassandra",95.2716,42630010,5.6557,"ubuntu","latest",324575546,1
"19","adambrown/java","java",94.4403,35464298,9.9174,"ubuntu","latest",0,1
"20","adinstruments/mongo","mongo",98.9383,4541699,2.0192,"debian","latest",104458488,1
"21","adiwitcoth/nginx","nginx",97.9776,482529,2.8168,"alpine","latest",10124864,1
"22","admatic/cassandra","cassandra",98.1857,7541142,2.8668,"debian","latest",128102978,1
"23","adriftdev/mongodb","mongo",99.2997,4604000,2.7312,"raspbian","latest",168870353,1
"24","advice/mongodb","mongo",95.8603,33918743,6.4604,"ubuntu","latest",276222288,1
"25","aerth/mysql","mysql",94.6443,27232658,9.5842,"ubuntu","latest",117301759,1
"26","afoard/mongo","mongo",92.4854,48017188,9.3503,"ubuntu","latest",167276616,1
"27","agaveapi/mongodb","mongo",95.2614,24420222,7.7553,"ubuntu","latest",203688994,1
"28","ahmadiq/java","java",94.9382,34404524,5.7181,"ubuntu","latest",255864746,1
"29","ahmet2mir/mysql","mysql",96.8995,14686939,8.3185,"debian","latest",85675919,1
"30","aimakun/mysql","mysql",99.3316,3680580,1.848,"debian","latest",111174461,1
"31","airdock/mongodb","mongo",98.653,6393520,3.0222,"debian","latest",131767270,1
"32","airhacks/java","java",95.0391,39242108,19.2607,"centos","latest",140961207,1
"33","ajnouri/nginx","nginx",84.1109,57295147,17.1147,"ubuntu","latest",132933462,1
"34","akaillidan/mongodb","mongo",98.8405,5676129,2.5635,"debian","latest",102671702,1
"35","akhs/cassandra","cassandra",98.9181,15151024,1.7929,"debian","latest",352487271,1
"36","akilli/nginx","nginx",99.1552,138670,1.7198,"alpine","latest",5720390,1
"37","aku1/mysql","mysql",97.7916,14882255,5.6331,"debian","latest",132953180,1
"38","aku1/nginx","nginx",97.2065,13198087,10.91,"debian","latest",95315912,1
"39","alang/nginx","nginx",98.2051,3585412,6.6629,"debian","latest",44670772,1
"40","aleksandrovd/mongo","mongo",99.1296,3580929,2.0374,"debian","latest",95468146,1
"41","alexcheng/cassandra","cassandra",98.2363,7461487,2.7844,"debian","latest",132580111,1
"42","alexlukichev/cassandra","cassandra",99.2095,4456873,1.8514,"debian","latest",174065900,1
"43","aliem/java","java",99.6275,698384,0.6707,"alpine","latest",43000984,1
"44","almasry/mongodb","mongo",98.7141,6887816,2.4551,"debian","latest",152922341,1
"45","almundo/java","java",97.7801,18780978,3.5551,"debian","latest",247413462,1
"46","amazeeio/mongo","mongo",99.9805,56034,0.034,"alpine","latest",69464541,1
"47","amd64/cassandra","cassandra",98.2414,7471574,2.7842,"debian","latest",132875944,1
"48","amd64/mongo","mongo",98.6546,6578732,2.0384,"ubuntu","latest",147656531,1
"49","amd64/mysql","mysql",98.5693,8332617,2.0328,"debian","latest",136675781,1
"50","amd64/nginx","nginx",98.4295,3646507,6.3431,"debian","latest",50974777,1
"51","aminjam/mongodb","mongo",99.2114,4138114,1.1696,"debian","latest",145013765,1
"52","an0t8/nginx","nginx",94.5902,10051671,12.9459,"debian","latest",59854610,1
"53","angrimoz/mongodb","mongo",92.0771,33528734,11.2993,"ubuntu","latest",153979178,1
"54","anthonyamanse/cassandra","cassandra",98.3147,7912518,3.1325,"debian","latest",176424521,1
"55","anvilresearch/nginx","nginx",99.3522,80675,5.4619,"alpine","latest",3081731,1
"56","aolins/cassandra","cassandra",96.1462,17335586,7.2262,"debian","latest",178945578,1
"57","apifocal/java","java",92.816,38385822,9.7561,"ubuntu","latest",187534424,1
"58","aplimouzin/mongodb","mongo",97.1662,12064679,7.5905,"raspbian","latest",136713447,1
"59","appertly/nginx","nginx",96.8938,5719089,7.8118,"debian","latest",58159868,1
